"","Day","theta","MRS","MeanAngle","StdAngle","COM"
"94","Angular",0.93,44010685054.5089,-3.55385228971888,16573.5041108195,0
"95","Angular",0.94,44519319901.0419,-3.55004580633809,16573.5041108195,0
"96","Angular",0.95,44973003950.7037,-3.54446177425159,16573.5041108195,0
"97","Angular",0.96,45742454686.5769,-3.53710512398159,16573.5041108195,1.4210854715202e-14
"98","Angular",0.97,46084599178.6001,-3.52798247898097,16573.5041108195,1.46482137552712e-14
"99","Angular",0.98,46766475109.3482,-3.51710215069005,16573.5041108195,0
"100","Angular",0.99,47218484773.6574,-3.50447413246252,16573.5041108195,1.4210854715202e-14
"101","Angular",1,47488396303.3291,-3.49011009236415,16573.5041108195,0
"102","Angular",1.01,48222567058.2072,-3.47402336484366,16573.5041108195,1.4210854715202e-14
"103","Angular",1.02,48497792832.9006,-3.45622894127189,16573.5041108195,0
"104","Angular",1.03,48973458786.9824,-3.4367434593415,16573.5041108195,0
"105","Angular",1.04,49378141770.8679,-3.41558519131603,16573.5041108195,0
"106","Angular",1.05,49894845273.2468,-3.39277403111372,16573.5041108195,0
"107","Angular",1.06,50249078245.7038,-3.36833148020794,16573.5041108195,3.5527136788005e-15
"108","Angular",1.07,50635387386.0329,-3.34228063232358,16573.5041108195,1.46482137552712e-14
"109","Angular",1.08,50954902945.8704,-3.31464615690516,16573.5041108195,0
"110","Angular",1.09,51166768565.8902,-3.28545428133071,16573.5041108195,1.4210854715202e-14
"111","Angular",1.1,51519224407.1245,-3.25473277184282,16573.5041108195,1.4210854715202e-14
"112","Angular",1.11,51987227461.0023,-3.22251091316613,16573.5041108195,0
"113","Angular",1.12,51807857300.1584,-3.18881948677991,16573.5041108195,3.5527136788005e-15
"114","Angular",1.13,51980959521.292,-3.15369074781238,16573.5041108195,0
"115","Angular",1.14,52560223313.1158,-3.11715840052368,16573.5041108195,0
"116","Angular",1.15,52249163922.0679,-3.07925757234347,16573.5041108195,3.5527136788005e-15
"117","Angular",1.16,52491310626.9014,-3.04002478643,16573.5041108195,3.5527136788005e-15
"118","Angular",1.17,52385767430.2623,-2.99949793271847,16573.5041108195,1.4210854715202e-14
"119","Angular",1.18,52596256523.7556,-2.95771623742725,16573.5041108195,0
"120","Angular",1.19,52349892539.0978,-2.9147202309929,16573.5041108195,1.46482137552712e-14
"121","Angular",1.2,52572360413.7019,-2.87055171440743,16573.5041108195,0
"122","Angular",1.21,52419242588.3616,-2.82525372393404,16573.5041108195,1.4210854715202e-14
"123","Angular",1.22,52267543453.8687,-2.77887049418071,16573.5041108195,0
"124","Angular",1.23,51907721606.8259,-2.73144741951593,16573.5041108195,3.5527136788005e-15
"125","Angular",1.24,51956185886.0287,-2.68303101381451,16573.5041108195,0
"126","Angular",1.25,51502171441.0144,-2.63366886852691,16573.5041108195,0
"127","Angular",1.26,51475490641.8663,-2.58340960907077,16573.5041108195,0
"128","Angular",1.27,51534953436.0809,-2.5323028495495,16573.5041108195,0
"129","Angular",1.28,51103664560.0657,-2.48039914580886,16573.5041108195,1.4210854715202e-14
"130","Angular",1.29,50919696963.3304,-2.42774994684923,16573.5041108195,0
"131","Angular",1.3,50604111348.3038,-2.37440754461831,16573.5041108195,0
