YEAR  MO  DA  HR      LAT       LON   CO2 20000
2012   8  16   0  39.6868  -96.0675  0.2052E-06
2012   8  16   0  39.7368  -96.0675  0.1430E-06
2012   8  16   0  39.7868  -96.0675  0.1051E-06
2012   8  16   0  39.8368  -96.0675  0.7786E-07
2012   8  16   0  39.8868  -96.0675  0.5235E-07
2012   8  16   0  39.9368  -96.0675  0.3736E-07
2012   8  16   0  39.9868  -96.0675  0.2304E-07
2012   8  16   0  40.0368  -96.0675  0.1663E-07
2012   8  16   0  40.0868  -96.0675  0.1064E-07
2012   8  16   0  40.1368  -96.0675  0.8599E-08
2012   8  16   0  40.1868  -96.0675  0.6083E-08
2012   8  16   0  40.2368  -96.0675  0.4210E-08
2012   8  16   0  40.2868  -96.0675  0.2307E-08
2012   8  16   0  40.3368  -96.0675  0.1802E-08
2012   8  16   0  40.3868  -96.0675  0.1607E-08
2012   8  16   0  40.4368  -96.0675  0.1402E-08
2012   8  16   0  40.4868  -96.0675  0.1184E-08
2012   8  16   0  40.5368  -96.0675  0.7992E-09
2012   8  16   0  40.5868  -96.0675  0.6986E-09
2012   8  16   0  40.6368  -96.0675  0.2914E-09
2012   8  16   0  40.6868  -96.0675  0.3793E-09
2012   8  16   0  40.7368  -96.0675  0.3322E-09
2012   8  16   0  40.7868  -96.0675  0.2842E-09
2012   8  16   0  40.8368  -96.0675  0.3458E-09
2012   8  16   0  40.8868  -96.0675  0.1480E-09
2012   8  16   0  40.9368  -96.0675  0.1999E-09
2012   8  16   0  40.9868  -96.0675  0.2543E-09
2012   8  16   0  41.0368  -96.0675  0.1037E-09
2012   8  16   0  41.9368  -96.0675  0.4838E-10
2012   8  16   0  41.9868  -96.0675  0.1452E-09
2012   8  16   0  42.0368  -96.0675  0.1453E-09
2012   8  16   0  39.3368  -96.0175  0.9322E-11
2012   8  16   0  39.3868  -96.0175  0.8572E-08
2012   8  16   0  39.4368  -96.0175  0.4739E-07
2012   8  16   0  39.4868  -96.0175  0.9027E-07
2012   8  16   0  39.5368  -96.0175  0.1071E-06
2012   8  16   0  39.5868  -96.0175  0.1273E-06
2012   8  16   0  39.6368  -96.0175  0.1432E-06
2012   8  16   0  39.6868  -96.0175  0.1677E-06
2012   8  16   0  39.7368  -96.0175  0.1899E-06
2012   8  16   0  39.7868  -96.0175  0.1858E-06
2012   8  16   0  39.8368  -96.0175  0.1567E-06
2012   8  16   0  39.8868  -96.0175  0.1200E-06
2012   8  16   0  39.9368  -96.0175  0.9335E-07
2012   8  16   0  39.9868  -96.0175  0.7184E-07
2012   8  16   0  40.0368  -96.0175  0.5090E-07
2012   8  16   0  40.0868  -96.0175  0.3790E-07
2012   8  16   0  40.1368  -96.0175  0.2665E-07
2012   8  16   0  40.1868  -96.0175  0.1922E-07
2012   8  16   0  40.2368  -96.0175  0.1335E-07
2012   8  16   0  40.2868  -96.0175  0.1040E-07
2012   8  16   0  40.3368  -96.0175  0.8142E-08
2012   8  16   0  40.3868  -96.0175  0.6609E-08
2012   8  16   0  40.4368  -96.0175  0.5024E-08
2012   8  16   0  40.4868  -96.0175  0.3564E-08
2012   8  16   0  40.5368  -96.0175  0.2608E-08
2012   8  16   0  40.5868  -96.0175  0.2189E-08
2012   8  16   0  40.6368  -96.0175  0.1711E-08
2012   8  16   0  40.6868  -96.0175  0.1484E-08
2012   8  16   0  40.7368  -96.0175  0.1045E-08
2012   8  16   0  40.7868  -96.0175  0.6806E-09
2012   8  16   0  40.8368  -96.0175  0.4498E-09
2012   8  16   0  40.8868  -96.0175  0.7453E-09
2012   8  16   0  40.9368  -96.0175  0.8626E-09
2012   8  16   0  40.9868  -96.0175  0.8020E-09
2012   8  16   0  41.0368  -96.0175  0.4994E-09
2012   8  16   0  41.0868  -96.0175  0.5537E-09
2012   8  16   0  41.1368  -96.0175  0.4977E-09
2012   8  16   0  41.1868  -96.0175  0.5348E-09
2012   8  16   0  41.2368  -96.0175  0.2860E-09
2012   8  16   0  41.2868  -96.0175  0.2862E-09
2012   8  16   0  41.3368  -96.0175  0.1361E-09
2012   8  16   0  41.3868  -96.0175  0.1816E-09
2012   8  16   0  41.4368  -96.0175  0.4544E-10
2012   8  16   0  42.0868  -96.0175  0.1940E-09
2012   8  16   0  42.1368  -96.0175  0.1456E-09
2012   8  16   0  39.3868  -95.9675  0.1290E-09
2012   8  16   0  39.4368  -95.9675  0.3069E-08
2012   8  16   0  39.4868  -95.9675  0.2144E-07
2012   8  16   0  39.5368  -95.9675  0.4671E-07
2012   8  16   0  39.5868  -95.9675  0.6026E-07
2012   8  16   0  39.6368  -95.9675  0.6749E-07
2012   8  16   0  39.6868  -95.9675  0.7350E-07
2012   8  16   0  39.7368  -95.9675  0.9141E-07
2012   8  16   0  39.7868  -95.9675  0.1066E-06
2012   8  16   0  39.8368  -95.9675  0.1403E-06
2012   8  16   0  39.8868  -95.9675  0.1574E-06
2012   8  16   0  39.9368  -95.9675  0.1452E-06
2012   8  16   0  39.9868  -95.9675  0.1183E-06
2012   8  16   0  40.0368  -95.9675  0.9850E-07
2012   8  16   0  40.0868  -95.9675  0.7843E-07
